cur_pnr,matched_id
0123FA2,21-2x-29
0123FA,21-2x-29
641121-1,21-6X-04
4063-19972-01AA,21-3x-03
2215240-1,21-5X-04
398908-5,21-5X-35
2340400-1,21-5X-18
3214972-1,21-6X-18
622814-4,21-6X-14
0123FA2A,21-2x-29
622878-2,21-5X-34
21230-02AC,21-3x-03
396608-1,21-5X-03
2215490-2,21-5X-05
3202446-1,21-5X-27
645405-2,21-2x-16
214C50-2,21-3x-09
116817-5,21-4X-01
213A3410-4,21-5X-12-A
3290206-1,21-5X-36
398908-5,21-6X-19
641172-1,21-5X-30
69-2914-24,21-2x-01-A
2215240-3,21-5X-04
2215280-1,21-5X-04
2215510-1,21-5X-05
398908-6,21-6X-19
622878-2,21-6X-13
69-2914-15,21-2x-01-A
541674-4,21-5X-11
213A3410-5,21-5X-12-A
213A3420-7,21-5X-12-A
20798-01,21-2x-27
213A3420-8,21-5X-12-A
398908-3,21-5X-35
398908-3,21-6X-19
4101054,21-2x-25
4101054,21-2x-24
4063-19972-01AB,21-3x-03
4063-19972-02AA,21-3x-03
4063-19972-02AB,21-3x-03
720737-6,21-3x-05
2215280-3,21-5X-04
572757-1,21-5X-29
2214275-1,21-5X-26
3202444-1,21-6X-17
645405-1,21-2x-16
213A3410-2,21-5X-12-A
398908-6,21-5X-35
213A3410-1,21-5X-12-A
2215490-1,21-5X-05
1150250-1,21-5X-31
624018-1,21-6X-01
024116,21-6X-25
3202096-2,21-2x-17
622814-5,21-6X-14
1150002-1,21-5X-13
7121-19971-01AC,21-3x-02
7121-19971-01AB,21-3x-02
7123-19973-02AB,21-3X-01
17136-00-00,21-3x-07-A
814392-4-002,21-3X-01
824392-1-002,21-3X-01
69-37334-12,21-3x-07
17137-00-00,21-3x-07-B
AW2835AB06,21-3x-07-B
541674-4,21-5X-40
7123-19973-03AB,21-3X-01
162BL903,21-6X-07
824392-2-002,21-3X-01
65-52810-64,21-5X-02
WL501RC1,21-3x-07-A
814392-2-002,21-3X-01
21230-03AC,21-3x-03
21230-12BB,21-3x-03
21933-01AB,21-3x-02
21933-01AD,21-3x-02
21933-01AA,21-3x-02
398908-4,21-5X-35
7123-19973-03AC,21-3X-01
21933-01AC,21-3x-02
21230-10BA,21-3x-03
7123-19973-02AC,21-3X-01
814392-2-003,21-3X-01
814392-4-003,21-3X-01
1019439-2-001,21-3X-01
1019439-1-001,21-3X-01
824392-1-003,21-3X-01
824392-2-003,21-3X-01
69-37334-312,21-3x-07
398908-4,21-6X-19
2340400-2,21-5X-18
67600014-1,21-5X-11
67600014-1,21-5X-40
51090160-1,21-6X-14
2215510-3,21-5X-05
2215510-2,21-5X-05
572756-1,21-5X-28
398116-1-1,21-6X-22
548376-6,21-6X-14
69-2914-25,21-2x-01-A
2215250-1,21-5X-05
607400-1,21-6X-10
183010-4,21-5X-18
321942-1-1,21-5X-16
123266-1-1,21-6X-03
123544-1-1,21-6X-03
123558-1-4,21-6X-03
123268-1-1,21-2x-04
65-52810-59,21-5X-02
123266-2-1,21-6X-03
21230-01AB,21-3x-03
2215290-1,21-5X-05
123558-1-1,21-6X-03
65-52810-57,21-5X-02
607518-2,21-5X-37
123558-1-3,21-6X-03
607400-1-1,21-6X-10
396498-2,21-5X-03
69-2914-20,21-2x-01-A
2215290-1,21-5X-04
617166-1,21-5X-13
2215250-1,21-5X-28
2215250-1,21-5X-04
2215280-1S3,21-5X-04
2215240-1S3,21-5X-04
63396754-1,21-5X-03
1153222-2,21-5X-32
51090248-005,21-6X-14
645242-1,21-2x-28
51090248-002,21-6X-14
51090248-003,21-6X-14
63396754-2,21-5X-03
ES210-1632,21-5X-03-G
67200060-1,21-7x-01
